"id","num_changes","created_at","user","tags","min_x","max_x","min_y","max_y"
"83616741","1","2020-04-15 23:55:11.000","Abdulhafidh","{""comment"":"" #YouthMappers #Map4COVID19"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""personal knowladge""}","39.2206394","39.2206395","-6.1817755","-6.1817755"
"83616930","1","2020-04-16 00:14:27.000","Abdulhafidh","{""comment"":""#YouthMappers #Map4COVID19"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""personal knowladge""}","39.2230314","39.2230314","-6.1816276","-6.1816276"
"83618271","0","2020-04-16 02:03:37.000","noelledwyer","{""comment"":""added phone number, hospital tag, and url"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""https://www.bethesdaweb.com/""}",,,,
"83618392","1","2020-04-16 02:10:06.000","noelledwyer","{""comment"":""added pharmacy tag, phone number, address, and url"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""https://www.walgreens.com/locator/walgreens-1601+s+congress+ave-boynton+beach-fl-33426/id=5490""}","-80.0586234","-80.0586234","26.5130550","26.5130550"
"83618544","1","2020-04-16 02:17:35.000","noelledwyer","{""comment"":""added CVS Pharmacy in Delray Beach"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""https://www.cvs.com/store-locator/cvs-pharmacy-address/700+Ne+7th+Avenue-Delray+Beach-FL-33446/storeid=5401?WT.mc_id=LS_GOOGLE_FS_5401""}","-80.0678766","-80.0678766","26.4735598","26.4735598"
"83619147","1","2020-04-16 02:47:29.000","noelledwyer","{""comment"":""added Walgreens in Delray Beach. #GWU_geog"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""https://www.walgreens.com/locator/walgreens-430+ne+6th+ave-delray+beach-fl-33483/id=2547""}","-80.0675064","-80.0675064","26.4698719","26.4698719"
"83716232","1","2020-04-17 16:00:36.000","Johnny Lagios","{""comment"":""Update based on local info"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""Google Maps, local knowledge""}","23.9819358","23.9819358","38.0613314","38.0613314"
"83716372","1","2020-04-17 16:03:26.000","Johnny Lagios","{""comment"":""Updated on local info"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""Local knowledge""}","23.9807737","23.9807738","38.0800134","38.0800135"
"83723773","1","2020-04-17 19:46:36.000","Dawn Drake","{""comment"":""#AGSMAppyHour417 "",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""Walgreens website""}","-94.8161538","-94.8157414","39.8057434","39.8061221"
"83723870","1","2020-04-17 19:49:41.000","Dawn Drake","{""comment"":""#AGSMAppyHour417 "",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""Walgreens website""}","-94.8043160","-94.8039049","39.7772891","39.7777345"
"83723990","1","2020-04-17 19:53:33.000","DSheets","{""comment"":""Added clinic #AGSMAppyHour417 #americangeo "",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""local knowledge, store website- mymdnow.com""}","-80.2423650","-80.2423650","26.1212168","26.1212168"
"83723992","1","2020-04-17 19:53:35.000","ntx_geography","{""comment"":""Walgreens Pharmacy "",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""Local Knowledge""}","-96.7940569","-96.7940569","33.0219242","33.0219242"
"83724068","1","2020-04-17 19:55:55.000","KCann","{""comment"":""Added pharmacy. #AmericanGeo #TeachOSM #AGSMappyHour417"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""Aerial imagery, local knowledge, website""}","-74.6010572","-74.6010572","40.1749795","40.1749795"
"83724094","1","2020-04-17 19:56:46.000","careynolds","{""comment"":""added phone, address, and URL  #americangeo  #agsmappyhour417  #teachosm"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""local knowledge and store website""}","-70.4855921","-70.4855920","41.7017070","41.7017070"
"83724137","1","2020-04-17 19:58:29.000","ntx_geography","{""comment"":""Teach OSM, AGS MappyHour 417"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""Local Knowlwedge, Website""}","-96.7991424","-96.7991424","33.0260621","33.0260621"
"83724163","1","2020-04-17 19:59:05.000","conorjwhite96","{""comment"":""#AmericanGeo"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""local knowledge""}","-6.6525650","-6.6525650","53.2109513","53.2109513"
"83724284","1","2020-04-17 20:02:51.000","careynolds","{""comment"":""added URL and phone number #americangeo  #agsmappyhour417  #teachosm"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""local knowledge and clinic website ""}","-70.4882087","-70.4877715","41.7170902","41.7177400"
"83724305","1","2020-04-17 20:03:21.000","Dawn Drake","{""comment"":""local knowledge"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""#AGSMAppyHour417""}","-94.8294300","-94.8294300","39.7765918","39.7765918"
"83724631","1","2020-04-17 20:14:37.000","careynolds","{""comment"":""update phone number, address, URL #americangeo  #agsmappyhour417 #teachosm"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""local knowledge and store website""}","-70.5077264","-70.5077264","41.7659823","41.7659823"
