"id","num_changes","created_at","user","tags","min_x","max_x","min_y","max_y"
"83616741","1","2020-04-15 23:55:11.000","Abdulhafidh","{""comment"":"" #YouthMappers #Map4COVID19"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""personal knowladge""}","39.2206394","39.2206395","-6.1817755","-6.1817755"
"83616930","1","2020-04-16 00:14:27.000","Abdulhafidh","{""comment"":""#YouthMappers #Map4COVID19"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""personal knowladge""}","39.2230314","39.2230314","-6.1816276","-6.1816276"
"83618271","0","2020-04-16 02:03:37.000","noelledwyer","{""comment"":""added phone number, hospital tag, and url"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""https://www.bethesdaweb.com/""}",,,,
"83618392","1","2020-04-16 02:10:06.000","noelledwyer","{""comment"":""added pharmacy tag, phone number, address, and url"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""https://www.walgreens.com/locator/walgreens-1601+s+congress+ave-boynton+beach-fl-33426/id=5490""}","-80.0586234","-80.0586234","26.5130550","26.5130550"
"83618544","1","2020-04-16 02:17:35.000","noelledwyer","{""comment"":""added CVS Pharmacy in Delray Beach"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""https://www.cvs.com/store-locator/cvs-pharmacy-address/700+Ne+7th+Avenue-Delray+Beach-FL-33446/storeid=5401?WT.mc_id=LS_GOOGLE_FS_5401""}","-80.0678766","-80.0678766","26.4735598","26.4735598"
"83619147","1","2020-04-16 02:47:29.000","noelledwyer","{""comment"":""added Walgreens in Delray Beach. #GWU_geog"",""created_by"":""Healthsites.io (osmapi/1.2.2)"",""source"":""https://www.walgreens.com/locator/walgreens-430+ne+6th+ave-delray+beach-fl-33483/id=2547""}","-80.0675064","-80.0675064","26.4698719","26.4698719"
"82365972","1","2020-03-18 22:50:09.000","Patricia Solis","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.9082647","-79.9079063","8.5382928","8.5386979"
"82366040","1","2020-03-18 22:54:37.000","Patricia Solis","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.9091864","-79.9091864","8.5511140","8.5511140"
"74796477","1","2019-09-23 09:23:32.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9150138","4.9150138","52.3583574","52.3583575"
"74796750","1","2019-09-23 09:30:43.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9150138","4.9150138","52.3583573","52.3583574"
"74801808","1","2019-09-23 11:16:30.000","Janusz Slota","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.7520898","-0.7520897","51.3918935","51.3918935"
"82418843","0","2020-03-20 06:57:54.000","Pit Wenkin","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82421031","1","2020-03-20 07:57:56.000","muindre","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","36.7811189","36.7811190","-1.3077520","-1.3077519"
"82423590","1","2020-03-20 08:58:10.000","maning","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","121.1027448","121.1029311","14.6244334","14.6247147"
"82424501","1","2020-03-20 09:20:30.000","chomba chishala","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","28.0997797","28.1012736","-12.8348650","-12.8328330"
"82425186","1","2020-03-20 09:37:48.000","chomba chishala","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","28.0990260","28.0991735","-12.8487729","-12.8484277"
"82425475","1","2020-03-20 09:44:43.000","muindre","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","36.6685653","36.6685653","-1.2653633","-1.2653633"
"82425932","1","2020-03-20 09:55:56.000","Moulahoum","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","2.9828631","2.9830911","36.6882874","36.6884298"
"82425986","1","2020-03-20 09:57:26.000","Moulahoum","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","2.9825735","2.9825735","36.6927346","36.6927346"
"82428847","1","2020-03-20 11:08:34.000","Moulahoum","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","2.9729775","2.9732350","36.6932461","36.6934224"
"82430630","1","2020-03-20 12:02:08.000","Ingrid k","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6374143","32.6374143","0.3673421","0.3673421"
"82430732","1","2020-03-20 12:04:59.000","Ingrid k","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6371568","32.6371568","0.3677122","0.3677122"
"82431149","1","2020-03-20 12:17:55.000","Ingrid k","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6357192","32.6357192","0.3636944","0.3636944"
"82431669","0","2020-03-20 12:36:04.000","mweper","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82431682","0","2020-03-20 12:36:24.000","mweper","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82431701","0","2020-03-20 12:36:58.000","mweper","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82438289","1","2020-03-20 15:47:37.000","Ingrid k","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6374142","32.6374143","0.3673421","0.3673421"
